iter	Passed	Remaining
278	1248	43499
279	1253	43508
280	1258	43512
281	1262	43516
282	1267	43525
283	1273	43561
284	1277	43548
285	1281	43519
286	1286	43524
287	1290	43518
288	1295	43532
289	1299	43510
290	1304	43519
291	1308	43509
292	1312	43486
293	1317	43508
294	1321	43470
295	1326	43494
296	1331	43486
297	1335	43489
298	1338	43428
299	1343	43437
300	1347	43423
301	1351	43405
302	1354	43355
303	1359	43366
304	1364	43367
305	1366	43304
306	1372	43330
307	1377	43340
308	1382	43352
309	1386	43338
310	1391	43353
311	1396	43351
312	1400	43345
313	1403	43305
314	1408	43298
315	1413	43305
316	1417	43310
317	1423	43344
318	1426	43293
319	1431	43298
320	1435	43295
321	1440	43296
322	1445	43297
323	1450	43303
324	1453	43269
325	1458	43277
326	1462	43275
327	1467	43271
328	1471	43263
329	1475	43243
330	1481	43264
331	1485	43250
332	1491	43295
333	1496	43304
334	1501	43324
335	1506	43319
336	1510	43297
337	1513	43275
338	1518	43288
339	1523	43295
340	1526	43245
341	1530	43224
342	1535	43230
343	1540	43246
344	1544	43232
345	1549	43236
346	1554	43237
347	1559	43240
348	1563	43227
349	1566	43194
350	1571	43191
351	1575	43187
352	1580	43189
353	1585	43196
354	1588	43148
355	1592	43132
356	1597	43143
357	1601	43137
358	1605	43109
359	1608	43073
360	1613	43083
361	1617	43066
362	1622	43064
363	1625	43023
364	1629	43027
365	1633	42992
366	1637	42992
367	1642	43003
368	1647	42995
369	1651	42996
370	1656	43000
371	1659	42946
372	1664	42952
373	1666	42904
374	1671	42900
375	1675	42895
376	1680	42891
377	1683	42864
378	1689	42886
379	1694	42888
380	1698	42886
381	1703	42879
382	1707	42887
383	1712	42874
384	1717	42886
385	1722	42901
386	1725	42870
387	1730	42860
388	1734	42847
389	1741	42907
390	1745	42897
391	1749	42881
392	1753	42868
393	1758	42861
394	1762	42863
395	1767	42858
396	1771	42853
397	1775	42826
398	1782	42886
399	1786	42882
400	1791	42873
401	1794	42847
402	1798	42836
403	1803	42838
404	1808	42841
405	1812	42838
406	1817	42837
407	1821	42831
408	1826	42840
409	1831	42834
410	1835	42826
411	1840	42826
412	1846	42855
413	1851	42860
414	1855	42853
415	1858	42824
416	1864	42841
417	1868	42836
418	1875	42882
419	1879	42869
420	1884	42870
421	1888	42851
422	1892	42842
423	1895	42817
424	1899	42788
425	1904	42794
